City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Rawson,AR,74.35,few clouds,-43.3002,-65.1023,Hosteria Sampedro
549,Nyaunglebin,MM,70.21,clear sky,17.95,96.7333,Thi ha
553,Vila Do Maio,CV,79.59,few clouds,15.1333,-23.2167,Hotel Marilu
554,Maryborough,AU,72.1,clear sky,-25.5333,152.7,Blue Shades Motel
565,Honiara,SB,78.48,overcast clouds,-9.4333,159.95,Heritage Park Hotel
570,Sinnamary,GF,77.36,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
577,Pisco,PE,73.45,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
578,Mitsamiouli,KM,80.82,overcast clouds,-11.3847,43.2844,Foyer ADM
580,Don Sak,TH,74.07,scattered clouds,9.3168,99.6918,Sea Sun Moon Hostel
587,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
589,Loandjili,CG,77.92,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
590,Xuddur,SO,83.41,overcast clouds,4.1213,43.8894,Banjanay Hotel
594,Tefe,BR,84.31,broken clouds,-3.3542,-64.7114,Aracati Hotel
597,Karonga,MW,77.86,scattered clouds,-9.9333,33.9333,Sumuka Inn
598,Soure,BR,85.55,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
599,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
601,Tual,ID,84.65,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
603,Broken Hill,AU,74.7,clear sky,-31.95,141.4333,Royal Exchange Hotel
606,Kindu,CD,71.19,overcast clouds,-2.95,25.95,Résidence Okanda
608,Peruibe,BR,81.95,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
609,Candelaria,PH,76.35,overcast clouds,13.9311,121.4233,Casa de Provincia
612,Carinhanha,BR,81.81,light rain,-14.3047,-43.765,Hotel União
614,Sola,VU,82.29,moderate rain,-13.8833,167.55,Leumerus Bungalows
621,Puerto Narino,CO,89.55,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
622,Basoko,CD,77.2,overcast clouds,1.2391,23.616,Jackyna Hotel
628,La Reforma,MX,82.74,few clouds,25.0833,-108.05,Hotel Reforma
635,Rio Grande,BR,87.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
636,Aloleng,PH,78.48,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
642,Santa Isabel Do Rio Negro,BR,87.82,overcast clouds,-0.4139,-65.0192,Hotel GSA
643,Arlit,NE,76.06,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
647,Kupang,ID,77.58,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
651,Sarangani,PH,83.64,overcast clouds,5.4033,125.4636,Ballistic Islet
652,Pitimbu,BR,86.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
658,Pandan,PH,78.37,broken clouds,14.0453,124.1694,Bonifacio Lodge
659,Kununurra,AU,82.38,few clouds,-15.7667,128.7333,Hotel Kununurra
667,Bairiki,KI,81.77,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
671,Caranavi,BO,81.54,broken clouds,-15.8167,-67.55,Hotel Landivar
672,Mpongwe,ZM,76.08,overcast clouds,-13.5091,28.155,GCMF Office & Lodge
676,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
677,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
