City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Kaitangata,NZ,-46.2817,169.8464,45.79,91,90,2.59,overcast clouds
263,Kavaratti,IN,10.5669,72.642,81.81,73,61,1.7,broken clouds
264,Nueva Helvecia,UY,-34.3,-57.2333,74.75,54,63,10.09,light rain
265,La Ronge,CA,55.1001,-105.2842,8.85,85,75,1.14,broken clouds
266,Thompson,CA,55.7435,-97.8558,6.33,92,97,1.5,overcast clouds
267,Mount Pleasant,US,32.7941,-79.8626,63.05,55,1,1.99,clear sky
268,Urengoy,RU,65.9667,78.3667,-19.26,90,95,6.87,overcast clouds
269,Mount Gambier,AU,-37.8333,140.7667,65.35,35,46,8.68,scattered clouds
270,Olafsvik,IS,64.8945,-23.7142,41.41,92,100,17.13,overcast clouds
271,Zyryanka,RU,65.75,150.85,-41.12,99,92,5.08,overcast clouds
272,Tautira,PF,-17.7333,-149.15,82.42,78,36,11.36,light rain
273,Aykhal,RU,66.0,111.5,-48.59,100,100,5.95,overcast clouds
274,Awjilah,LY,29.1081,21.2869,59.09,40,55,5.95,broken clouds
275,Batticaloa,LK,7.7102,81.6924,79.3,84,100,10.8,light rain
276,Neiafu,TO,-18.65,-173.9833,72.28,100,40,0.0,light rain
277,Mitla,MX,16.9167,-96.4,68.23,60,25,5.93,scattered clouds
278,Beyneu,KZ,45.3167,55.2,24.58,69,6,10.54,clear sky
279,Adrar,MR,20.5022,-10.0711,75.09,12,45,8.79,scattered clouds
280,Berdigestyakh,RU,62.0989,126.6992,-13.0,98,98,5.08,overcast clouds
281,Saint-Augustin,CA,51.226,-58.6502,37.09,95,100,21.63,overcast clouds
282,Tsumeb,NA,-19.2333,17.7167,72.95,62,98,12.15,overcast clouds
283,Hasaki,JP,35.7333,140.8333,46.8,62,47,12.75,scattered clouds
284,Zolotkovo,RU,55.5281,41.1053,17.85,90,95,7.07,overcast clouds
285,Bilma,NE,18.6853,12.9164,70.32,10,5,9.06,clear sky
286,Pontes E Lacerda,BR,-15.2261,-59.3353,79.77,87,100,6.06,moderate rain
287,Russkaya Polyana,UA,49.417,31.9201,39.38,78,100,13.56,light rain
288,Alta Floresta,BR,-9.8756,-56.0861,89.42,66,40,4.61,scattered clouds
289,West Bay,KY,19.3667,-81.4167,85.06,75,20,4.0,few clouds
290,Ostrovnoy,RU,68.0531,39.5131,29.39,90,100,18.68,overcast clouds
291,Jyvaskyla,FI,62.2415,25.7209,30.56,98,90,2.3,mist
292,Bafq,IR,31.6128,55.4107,52.29,37,0,4.54,clear sky
293,Abapo,BO,-18.8333,-63.4667,90.5,40,100,8.25,overcast clouds
294,Mul,IN,20.0667,79.6667,62.73,54,11,5.48,few clouds
295,Bosobolo,CD,4.1833,19.9,82.72,39,68,1.28,broken clouds
296,Benito Juarez,MX,19.385,-99.165,67.59,51,40,1.01,smoke
297,Eboli,IT,40.6142,15.0579,48.29,67,82,3.0,broken clouds
298,Pangai,TO,-19.8,-174.35,77.11,83,40,9.22,light rain
299,Haimen,CN,23.1935,116.6142,64.29,76,61,18.21,broken clouds
300,Port Blair,IN,11.6667,92.75,79.79,76,11,11.21,few clouds
301,North Bend,US,43.4065,-124.2243,48.11,91,75,10.36,broken clouds
302,Znamenskoye,RU,57.1281,73.8282,13.06,93,100,6.24,overcast clouds
303,Atambua,ID,-9.1061,124.8925,75.24,88,99,2.28,overcast clouds
304,Safaga,EG,26.7292,33.9365,73.94,69,100,2.55,overcast clouds
305,Butterworth,MY,5.3991,100.3638,82.0,82,40,8.05,thunderstorm
306,Hervey Bay,AU,-25.2986,152.8535,72.01,82,19,1.01,few clouds
307,Iquique,CL,-20.2208,-70.1431,69.84,75,51,7.56,broken clouds
308,Turukhansk,RU,65.8167,87.9833,-14.76,91,100,5.35,overcast clouds
309,Bafoulabe,ML,13.8065,-10.8321,91.76,9,11,4.05,few clouds
310,Never,FR,46.9896,3.159,46.15,100,90,4.61,mist
311,Sibiti,CG,-3.6819,13.3499,70.63,98,99,1.3,overcast clouds
312,Elko,US,41.0002,-115.5012,37.42,50,89,11.99,overcast clouds
313,La Baule-Escoublac,FR,47.2922,-2.364,54.88,86,90,3.44,overcast clouds
314,Faya,SA,18.3851,42.4509,55.51,37,16,5.66,few clouds
315,Severo-Kurilsk,RU,50.6789,156.125,33.03,96,100,13.73,light snow
316,Telimele,GN,10.9167,-13.3333,84.97,35,65,1.66,broken clouds
317,Bilibino,RU,68.0546,166.4372,-37.68,97,19,4.85,few clouds
318,Aracruz,BR,-19.8203,-40.2733,85.21,58,98,6.89,overcast clouds
319,Okhotsk,RU,59.3833,143.3,-1.7,76,92,18.39,overcast clouds
320,Kodinsk,RU,58.6881,99.1844,-10.07,98,93,3.78,overcast clouds
321,Torbay,CA,47.6666,-52.7314,57.76,93,100,37.22,light rain
322,Mattru,SL,7.6244,-11.8332,83.35,71,89,5.73,overcast clouds
323,Veraval,IN,20.9,70.3667,74.79,64,0,3.85,clear sky
324,Abay,KZ,49.6311,72.8539,10.78,91,100,11.34,overcast clouds
325,Grand Haven,US,43.0631,-86.2284,47.5,59,0,5.01,clear sky
326,Kyra,RU,49.5776,111.9753,4.37,88,100,3.6,overcast clouds
327,Okitipupa,NG,6.5047,4.7839,81.21,80,75,5.84,broken clouds
328,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,67,40,27.04,scattered clouds
329,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,55,75,42.57,broken clouds
330,Kudahuvadhoo,MV,2.6708,72.8944,81.39,75,100,11.45,light rain
331,Vao,NC,-22.6667,167.4833,77.94,89,100,16.17,light rain
332,Athabasca,CA,54.7169,-113.2854,14.31,95,79,2.46,broken clouds
333,Saint Anthony,US,45.0205,-93.218,37.29,60,1,5.01,light rain
334,Jiuquan,CN,39.7432,98.5174,20.88,30,0,5.55,clear sky
335,Meulaboh,ID,4.1363,96.1285,77.07,89,91,4.65,overcast clouds
336,Vallenar,CL,-28.5708,-70.7581,82.31,19,0,13.71,clear sky
337,Paredon,MX,16.0333,-93.8667,92.91,36,0,11.74,clear sky
338,Phan Thiet,VN,10.9333,108.1,73.63,88,81,5.88,broken clouds
339,Tezu,IN,27.9167,96.1667,61.7,54,48,3.29,scattered clouds
340,Garissa,KE,-0.4536,39.6401,83.5,56,99,7.02,overcast clouds
341,Cherskiy,RU,68.75,161.3,-42.86,100,54,2.17,broken clouds
342,Nuevitas,CU,21.5453,-77.2644,85.44,63,5,11.97,clear sky
